Vendor Name, 01 - January , 02 - February , 03 - March , 04 - April ,05 - May,
"SAGE SOFTWARE, INC.",," 18,133.42 ",,," 2,368.76 ",
SHOPIFY INC," 25,440.00 ",,,,,
"STERLING INFOSYSTEMS, INC.",, 690.59 , 215.98 , 249.44 , 78.44 ,
SURVEY MONKEY INC,," 11,448.00 ",,,,
TELESYSTEM,," 7,241.73 "," 2,345.38 "," 1,382.12 "," 2,140.71 ",
THE FRANCHISE BUILDERS BRANDS," 64,855.50 ",,,,,
THIRD AND GROVE LLC," 11,700.00 "," 15,592.50 "," 8,703.75 ",,,
VIMEO,,," 5,300.00 ",,,
VISUAL IMPACT GROUP," 35,350.85 ", 625.00 ," 22,161.38 ", 625.00 ," 29,578.55 ",
"WISTIA, INC.", 31.50 , 32.50 , 32.75 , 32.75 , 32.75 ,
"WORKZONE, LLC",, 699.60 ,,,,
ZOHO CORPORATION,,,, 58.00 ,,
"ZOOM INFORMATION, INC.",,," 32,138.14 ",," 1,375.88 ",
ZOOM VIDEO COMMUNICATIONS INC.," 2,035.83 ",,," 4,275.23 "," 4,288.06 ",
101Domain,,,, 9.99 , 9.99 ,
Adobe," 4,152.50 ",,,,,
Amazon,,,,, -   ,
Amazon Web Services, 450.75 , 859.02 , 450.40 , 449.01 ,,
Articulate Global,, 302.93 ,,," 6,481.96 ",
AudioAcrobat, 19.95 , 19.95 , 19.95 , 19.95 , 19.95 ,
B&H Photo," (6,378.50)",,,,,
BambooHR, 854.98 ," 1,023.28 ", 820.76 , 932.99 , 961.80 ,
Beaver Builder,,,, 119.40 ,,
Codekeeper, 225.00 , 225.00 , 225.00 , 225.00 , 225.00 ,
Comcast, 586.57 ,, 163.58 , 250.05 , 250.05 ,
Conference Call Services, 9.00 , 9.00 , 9.00 , 9.00 , 9.00 ,
"CopyTalk, LLC", 49.95 , 49.95 , 49.95 , 49.95 , 49.95 ,
Creative Minds,,,,, 209.03 ,
Dropbox," 1,294.01 "," 1,227.39 "," 1,214.80 "," 1,260.28 "," 1,275.72 ",
DynaDot,,, 9.99 ,,,
Facebook,,,,, 20.00 ,
GitHub,, 80.00 ,, 35.08 ,,
GoDaddy, 189.98 , 359.76 ,, 49.99 , 11.99 ,
Google, 364.90 , 18.08 ,, 350.00 ," 1,500.00 ",
Graphly, 60.00 , 60.00 , 60.00 , 60.00 , 60.00 ,
Hootsuite," 1,176.00 ",,,,,
HP.com,,,," 10,568.15 ",,
Iron Mountain, 78.53 , 78.25 , 78.53 , 79.39 , 82.48 ,
Keap,,,,," 3,042.09 ",
Liberated Syndication, 50.00 , 50.00 , 50.00 , 50.00 , 50.00 ,
Linode.com, 50.00 , 49.28 ,,,,
Lucid Software, 10.55 , 10.55 , 10.55 , 111.68 , 10.55 ,
Mailchimp, 133.55 , 263.93 , 30.73 , 134.60 , 134.60 ,
New Relic, 75.00 , 75.00 , 75.00 , 75.00 , 75.00 ,
Newkajabi.com, 97.00 , 97.00 , 97.00 , 97.00 , 97.00 ,
Onetrust, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ,
OrgChartHub, 128.00 , 128.00 , 128.00 , 128.00 , 128.00 ,
Plivo.com, 50.00 ,,,,,
PlusThis, 129.00 , 129.00 , 129.00 , 129.00 , 129.00 ,
Shopify,,,, 94.34 , 94.34 ,
Smugmug.com,,, 116.60 ,,,
Sonix.Ai, 180.00 ,,,,,
Spyfu, 399.00 ,,,,,
Techsmith,,, 210.94 , 52.74 ,,
Unbounce," 2,160.00 ",,,,,
UPWork,,,,," 1,316.26 ",
Verizon, 476.97 , 476.97 , 476.97 , 476.97 , 476.97 ,
Vimeo,, (543.65),,,,
Zapier.com," 3,450.20 ", 239.88 ,,,,
Zoom,,,,, 149.90 ,
